zone,seq,ts,severity,detector,diagnosis,action,n_triggered,trigger_sensors
Zone-C,179,1780126951.865247,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,180,1780126951.865254,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,181,1780126951.8652601,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,182,1780126951.865265,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,183,1780126951.86527,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,184,1780126951.8652768,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,185,1780126951.865283,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,186,1780126951.865288,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,187,1780126951.865293,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,188,1780126951.8653,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,189,1780126951.8653069,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,190,1780126951.865313,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,191,1780126951.865319,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,192,1780126951.8653262,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,193,1780126951.865334,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,194,1780126951.86534,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,195,1780126951.8653471,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,196,1780126951.8653529,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,197,1780126951.8653598,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,198,1780126951.865366,Normal,none,All sensors within nominal operating range.,No action required.,0,
